;;powiat bolesławiecki;powiat dzierżoniowski;powiat głogowski;powiat górowski;powiat jaworski;powiat jeleniogórski;powiat kamiennogórski;powiat kłodzki;powiat legnicki;powiat lubański;powiat lubiński;powiat lwówecki;powiat milicki;powiat oleśnicki;powiat oławski;powiat polkowicki;powiat strzeliński;powiat średzki;powiat świdnicki;powiat trzebnicki;powiat wałbrzyski;powiat wołowski;powiat wrocławski;powiat ząbkowicki;powiat zgorzelecki;powiat złotoryjski;powiat Jelenia Góra;powiat Legnica;powiat Wrocław;powiat Wałbrzych;powiat aleksandrowski;powiat brodnicki;powiat bydgoski;powiat chełmiński;powiat golubsko-dobrzyński;powiat grudziądzki;powiat inowrocławski;powiat lipnowski;powiat mogileński;powiat nakielski;powiat radziejowski;powiat rypiński;powiat sępoleński;powiat świecki;powiat toruński;powiat tucholski;powiat wąbrzeski;powiat włocławski;powiat żniński;powiat Bydgoszcz;powiat Grudziądz;powiat Toruń;powiat Włocławek;powiat bialski;powiat biłgorajski;powiat chełmski;powiat hrubieszowski;powiat janowski;powiat krasnostawski;powiat kraśnicki;powiat lubartowski;powiat lubelski;powiat łęczyński;powiat łukowski;powiat opolski;powiat parczewski;powiat puławski;powiat radzyński;powiat rycki;powiat świdnicki;powiat tomaszowski;powiat włodawski;powiat zamojski;powiat Biała Podlaska;powiat Chełm;powiat Lublin;powiat Zamość;powiat gorzowski;powiat krośnieński;powiat międzyrzecki;powiat nowosolski;powiat słubicki;powiat strzelecko-drezdenecki;powiat sulęciński;powiat świebodziński;powiat zielonogórski;powiat żagański;powiat żarski;powiat wschowski;powiat Gorzów Wielkopolski;powiat Zielona Góra;powiat bełchatowski;powiat kutnowski;powiat łaski;powiat łęczycki;powiat łowicki;powiat łódzki wschodni;powiat opoczyński;powiat pabianicki;powiat pajęczański;powiat piotrkowski;powiat poddębicki;powiat radomszczański;powiat rawski;powiat sieradzki;powiat skierniewicki;powiat tomaszowski;powiat wieluński;powiat wieruszowski;powiat zduńskowolski;powiat zgierski;powiat brzeziński;powiat Łódź;powiat Piotrków Trybunalski;powiat Skierniewice;powiat bocheński;powiat brzeski;powiat chrzanowski;powiat dąbrowski;powiat gorlicki;powiat krakowski;powiat limanowski;powiat miechowski;powiat myślenicki;powiat nowosądecki;powiat nowotarski;powiat olkuski;powiat oświęcimski;powiat proszowicki;powiat suski;powiat tarnowski;powiat tatrzański;powiat wadowicki;powiat wielicki;powiat Kraków;powiat Nowy Sącz;powiat Tarnów;powiat białobrzeski;powiat ciechanowski;powiat garwoliński;powiat gostyniński;powiat grodziski;powiat grójecki;powiat kozienicki;powiat legionowski;powiat lipski;powiat łosicki;powiat makowski;powiat miński;powiat mławski;powiat nowodworski;powiat ostrołęcki;powiat ostrowski;powiat otwocki;powiat piaseczyński;powiat płocki;powiat płoński;powiat pruszkowski;powiat przasnyski;powiat przysuski;powiat pułtuski;powiat radomski;powiat siedlecki;powiat sierpecki;powiat sochaczewski;powiat sokołowski;powiat szydłowiecki;powiat warszawski zachodni;powiat węgrowski;powiat wołomiński;powiat wyszkowski;powiat zwoleński;powiat żuromiński;powiat żyrardowski;powiat Ostrołęka;powiat Płock;powiat Radom;powiat Siedlce;powiat Warszawa;powiat brzeski;powiat głubczycki;powiat kędzierzyńsko-kozielski;powiat kluczborski;powiat krapkowicki;powiat namysłowski;powiat nyski;powiat oleski;powiat opolski;powiat prudnicki;powiat strzelecki;powiat Opole;powiat bieszczadzki;powiat brzozowski;powiat dębicki;powiat jarosławski;powiat jasielski;powiat kolbuszowski;powiat krośnieński;powiat leżajski;powiat lubaczowski;powiat łańcucki;powiat mielecki;powiat niżański;powiat przemyski;powiat przeworski;powiat ropczycko-sędziszowski;powiat rzeszowski;powiat sanocki;powiat stalowowolski;powiat strzyżowski;powiat tarnobrzeski;powiat leski;powiat Krosno;powiat Przemyśl;powiat Rzeszów;powiat Tarnobrzeg;powiat augustowski;powiat białostocki;powiat bielski;powiat grajewski;powiat hajnowski;powiat kolneński;powiat łomżyński;powiat moniecki;powiat sejneński;powiat siemiatycki;powiat sokólski;powiat suwalski;powiat wysokomazowiecki;powiat zambrowski;powiat Białystok;powiat Łomża;powiat Suwałki;powiat bytowski;powiat chojnicki;powiat człuchowski;powiat gdański;powiat kartuski;powiat kościerski;powiat kwidzyński;powiat lęborski;powiat malborski;powiat nowodworski;powiat pucki;powiat słupski;powiat starogardzki;powiat tczewski;powiat wejherowski;powiat sztumski;powiat Gdańsk;powiat Gdynia;powiat Słupsk;powiat Sopot;powiat będziński;powiat bielski;powiat cieszyński;powiat częstochowski;powiat gliwicki;powiat kłobucki;powiat lubliniecki;powiat mikołowski;powiat myszkowski;powiat pszczyński;powiat raciborski;powiat rybnicki;powiat tarnogórski;powiat bieruńsko-lędziński;powiat wodzisławski;powiat zawierciański;powiat żywiecki;powiat Bielsko-Biała;powiat Bytom;powiat Chorzów;powiat Częstochowa;powiat Dąbrowa Górnicza;powiat Gliwice;powiat Jastrzębie-Zdrój;powiat Jaworzno;powiat Katowice;powiat Mysłowice;powiat Piekary Śląskie;powiat Ruda Śląska;powiat Rybnik;powiat Siemianowice Śląskie;powiat Sosnowiec;powiat Świętochłowice;powiat Tychy;powiat Zabrze;powiat Żory;powiat buski;powiat jędrzejowski;powiat kazimierski;powiat kielecki;powiat konecki;powiat opatowski;powiat ostrowiecki;powiat pińczowski;powiat sandomierski;powiat skarżyski;powiat starachowicki;powiat staszowski;powiat włoszczowski;powiat Kielce;powiat bartoszycki;powiat braniewski;powiat działdowski;powiat elbląski;powiat ełcki;powiat giżycki;powiat iławski;powiat kętrzyński;powiat lidzbarski;powiat mrągowski;powiat nidzicki;powiat nowomiejski;powiat olecki;powiat olsztyński;powiat ostródzki;powiat piski;powiat szczycieński;powiat gołdapski;powiat węgorzewski;powiat Elbląg;powiat Olsztyn;powiat chodzieski;powiat czarnkowsko-trzcianecki;powiat gnieźnieński;powiat gostyński;powiat grodziski;powiat jarociński;powiat kaliski;powiat kępiński;powiat kolski;powiat koniński;powiat kościański;powiat krotoszyński;powiat leszczyński;powiat międzychodzki;powiat nowotomyski;powiat obornicki;powiat ostrowski;powiat ostrzeszowski;powiat pilski;powiat pleszewski;powiat poznański;powiat rawicki;powiat słupecki;powiat szamotulski;powiat średzki;powiat śremski;powiat turecki;powiat wągrowiecki;powiat wolsztyński;powiat wrzesiński;powiat złotowski;powiat Kalisz;powiat Konin;powiat Leszno;powiat Poznań;powiat białogardzki;powiat choszczeński;powiat drawski;powiat goleniowski;powiat gryficki;powiat gryfiński;powiat kamieński;powiat kołobrzeski;powiat koszaliński;powiat myśliborski;powiat policki;powiat pyrzycki;powiat sławieński;powiat stargardzki;powiat szczecinecki;powiat świdwiński;powiat wałecki;powiat łobeski;powiat Koszalin;powiat Szczecin;powiat Świnoujście
powiat golubsko-dobrzyński;405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;24856;;;42;;;;168;;;225;;285;;;;;334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat grudziądzki;406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;22199;;;;;;;;11;;;19;;;;617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat inowrocławski;407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;58;;10;;91995;12;728;26;54;;;;20;;;25;251;91;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;43;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;13;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;13;;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;79;;;;;;;;;;;;;;;;;;;;;;;
powiat lipnowski;408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;27;;;38492;;;;94;;;91;;;84;;17;;23;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat mogileński;409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;352;;25095;;;;;;;;;;22;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat nakielski;410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;;;36;;;45951;11;;;;;;;;151;453;11;34;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat radziejowski;411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;23935;;;;;;;20;;11;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat rypiński;412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;232;;;37;;;11;;;;24478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat sępoleński;413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;;;22895;;;28;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat świecki;414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111;406;10;36;;;;;;;10;54597;;161;;;;146;372;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;
powiat toruński;415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;366;256;;;82;;;;;;;55889;;96;64;;97;19;2405;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat tucholski;416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;87;;26885;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat wąbrzeski;417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;26;52;;;;;;;;;;;19652;;;;34;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat włocławski;418;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;;;12;;;;;;;49175;;;;;834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;
powiat żniński;419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172;;89;77;;;;;;;;;38322;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat Bydgoszcz;461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;426;398;8418;743;274;356;1556;216;384;3390;243;163;356;1635;1235;576;281;433;1315;206028;1016;984;208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;90;14;;;;;;;;;;13;;;;42;24;20;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;13;;;;;;13;;;;;;;;;10;;;10;;;;;;15;;;;;;;;;;163;;;;;;;;;14;;;;;;;32;;;;;;;;;;;;;;11;66;;;;;11;
powiat Grudziądz;462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;240;;1661;;;;;;;;758;10;14;130;;;35;55384;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat Toruń;463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;657;173;187;341;801;114;945;330;81;121;142;89;;210;6227;24;396;164;75;356;161;118921;124;;;;25;;86;;;;;;;;;;;;;;10;;;19;13;;;;;;;;;;;;;;;;58;;;;;102;;;;;;;;;;;;;14;;12;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;24;;;;;;;;;;;;;10;;;;;;11;;;;;;35;;;;;;22;;;113;;;;;;;;;16;;;;;;123;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;19;;;48;;;;;;;10;;;;;;;;16;;;15;;;16;;;13;45;34;;10;;12;74;23;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;33;
powiat Włocławek;464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;461;;;;;;19;673;35;;419;11;;;65;50;;3404;22;38;;96;66550;;;;;;;;;;;;;;;;;;;;;;;;;;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;48;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat bialski;601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63510;;;;;;;;;;66;;10;;557;;;;;;781;11;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat biłgorajski;602;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;57950;;;103;;;;;;;;;;;;;41;;222;;;36;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;;;;;;11;;;;;;;25;116;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;13;;;;;;;;;;;;;;;;;;;;;26;20;;15;;;;;;;12;;15;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;
powiat chełmski;603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46000;;;;;;;;;;;;;;;;;;;619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat hrubieszowski;604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;38353;;;;;;;54;;;;;;;;;;13;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat janowski;605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;26269;;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;22;19;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat krasnostawski;606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;127;;;35743;10;;;;;;;;;;12;;;61;;62;76;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat kraśnicki;607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;54713;;18;;;106;;;;;;;;;;;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
